ACTIVITY,reclass,list of possible methods,notes
Shelterwood Establishment Cut (with or without leave trees) (EA/RH/NFH),SKIP,Mechanical; tractor logging,
Shelterwood Preparatory Cut (EA/NRH/NFH),SKIP,mechanical; tractor logging,
Shelterwood Removal Cut (EA/NRH/FH),SKIP,mechanical; tractor logging,
Shelterwood Removal Cut (w/ leave trees) (EA/NRH/FH),SKIP,Logging Methods; tractor logging,
Shelterwood Staged Removal Cut (EA/NRH/NFH),Mechanical,Tractor Logging,
Silvicultural Stand Examination,EXCLUDE,Quick Plot Exams; survey methods,
Single Tree Selection Method (UA/RH/FH),SKIP,,
Single-tree Selection Cut (UA/RH/FH),SKIP,Logging Methods; manual; mechanical; tractor logging;,
Site Preparation for Natural Regeneration - Burning,Broadcast Burn,Fire; prescribed burn,
Site Preparation for Natural Regeneration - Manual,Manual,manual,
Site Preparation for Natural Regeneration - Mechanical,SKIP,"Crushing, pushing; mechanical; mechanical pile; tractor logging",
Site Preparation for Natural Regeneration - Other,SKIP,manual; mechanical,
Site Preparation for Planting - Chemical,EXCLUDE,,
Site Preparation for Planting - Mechanical,SKIP,Mechanical,
Site Preparation for Planting - Other,Manual,manual,
Site Preparation for Seeding - Mechanical,MECHANICAL,,
Site Preparation for Seeding - Other,SKIP,Mechanical,
Slashing - Pre-Site Preparation,Manual,manual,
Soil Productivity Improvement,EXCLUDE,manual,
Soil Productivity Monitoring,EXCLUDE,Subsoiling; survey methods,
Special Products Removal,SKIP,mechanical; tractor logging,
Stand Clearcut (EA/RH/FH),SKIP,logging methods; manual; mechanical; tractor logging,
Stand Clearcut (w/ leave trees) (EA/RH/FH),SKIP,Cut trees and brush; helicopter; logging methods; manual; mechanical; tractor logging,
Stand Clearcut (w/ leave trees) (EA/RH/FH) Cut trees and brush,SKIP,,
Stand Diagnosis Prepared,EXCLUDE,,
Stand Silviculture Prescription,SKIP,,
Stocking Survey,EXCLUDE,Extensive Inventory; general reconnaissance; intensive inventory; local method; manual; mechanical; plots (extensive inventory); plots (stratified inventory); quick plot exams; staked rows; stratified inventory; survey methods; tractor logging; walk-through,
T&ES Species Survey,EXCLUDE,,
Thinning for Hazardous Fuels Reduction,SKIP,Chipping; Christmas tree harvest; cut trees and brush; fire; firewood removal; hand piling; logging methods; maintenance; manual; manual logging; mechanical; power hand; removal; tractor logging,
Trail Maintenance,EXCLUDE,manual,
Tree Encroachment Control,MANUAL,,
Tree Release and Weed,SKIP,Cut trees and brush; fire; girdle; manual; mechanical; power hand; prescribed burn; tractor logging; utilizer-chip,
TSI Certification - Pruning,EXCLUDE,,
TSI Certification - Release/weeding,Manual,manual,
TSI Certification - Thinning,Manual,,
TSI Need (precommercial thinning) Eliminated,EXCLUDE,,
TSI Need (release or weeding) Eliminated,EXCLUDE,,
TSI Need Created- Precommercial Thin,EXCLUDE,,
TSI Need Created- Release or Weeding,EXCLUDE,,
Two-aged Patch Clearcut (w/res) (2A/RH/FH),SKIP,Mechanical,
Two-aged Preparatory Cut (w/res) (2A/NRH/NFH),SKIP,Mechanical,
Two-aged Seed-tree Seed and Removal Cut (w/res) (2A/RH/FH),Mechanical,Tractor Logging,
Two-aged Shelterwood Establishment and Removal Cut (w/ res) (2A/RH/FH),SKIP,mechanical; tractor logging,
Two-aged Shelterwood Final Removal Cut (w/res) (2A/NRH/FH),SKIP,mechanical; tractor logging,
Underburn - Low Intensity (Majority of Unit),Broadcast Burn,fire; manual; prescribed burn,
Visual Resource Slash treatment,SKIP,Mechanical,
Visual Resources Protection & Improvement,EXCLUDE,Mechanical,
Visual Resources Seeding/replanting,EXCLUDE,manual; mechanical,
Watershed Resource Non-Structural Improvements Erosion Cont,EXCLUDE,manual; mechanical; walk-through,
Watershed Resource Non-Structural Improvements Maintanence,EXCLUDE,,
Watershed Resource Non-Structural Improvements Riparian,EXCLUDE,,
Watershed Resource Road Closure - Area,EXCLUDE,,
Watershed Resource Road Closure - Length,EXCLUDE,,
Watershed Resource Road Obliteration - Area,EXCLUDE,,
Wildfire - Fuels Benefit,EXCLUDE,Wildfire,
Wildfire - Human Ignition,EXCLUDE,Wildfire,
Wildfire - Natural Ignition,EXCLUDE,Wildfire,
Wildland Fire Use,EXCLUDE,Fire; prescribed burn; wildfire,
Wildland propagule / cutting collecting,EXCLUDE,,
Wildland seed collecting,EXCLUDE,,
Wildlife Habitat Activities,EXCLUDE,,
Wildlife Habitat Create corridors,EXCLUDE,,
Wildlife Habitat Create openings,EXCLUDE,,
Wildlife Habitat Grasses and forbs,EXCLUDE,,
Wildlife Habitat Improvement,EXCLUDE,Installation; manual; mechanical,
Wildlife Habitat Intermediate cut,SKIP,,
Wildlife habitat inventory,EXCLUDE,,
Wildlife Habitat Mechanical treatment,SKIP,"manual, mechanical",
Wildlife habitat monitoring - area,EXCLUDE,manual,
Wildlife Habitat Non-Structural Improvement,EXCLUDE,manual,
Wildlife Habitat Precommercial thinning,SKIP,,
Wildlife Habitat Prescribed fire,Broadcast Burn,manual; prescribed burn,
Wildlife Habitat Regeneration cut,SKIP,,
Wildlife Habitat Rehabilitate openings,SKIP,,
Wildlife Habitat Seeding and planting,EXCLUDE,manual,
Yarding - Removal of Fuels by Carrying or Dragging,Removal,Christmas Tree Harvest; cut trees and brush; fire; firewood removal; gridle; hand piling; helicopter; logging methods; manual; mechanical; mobile ground; power hand; quick plot exams; removal; tractor logging; utilizer - chip,
